日期	开盘价	最高价	最低价	收盘价	涨跌额	涨跌幅	成交量（公斤）	加权平均价	成交金额（元）
2017-2-9	4078	4107	4075	4082	14	0.34%	3921628.00	4089	16035536896.00
2017-2-8	4062	4091	4060	4068	0	0.00%	3135124.00	4072	12766225408.00
2017-2-7	4057	4080	4051	4068	20	0.49%	3812338.00	4063	15489528832.00
2017-2-6	4006	4058	3991	4049	42	1.05%	5554652.00	4028	22374137856.00
2017-2-3	4025	4035	4005	4008	65	1.65%	1682364.00	4016	6756374016.00
2017-1-26	3987	3997	3942	3943	-45	-1.13%	3493122.00	3958	13825776640.00
2017-1-25	4017	4029	3986	3988	-32	-0.80%	3424582.00	4004	13712026624.00
2017-1-24	4024	4030	4016	4020	-3	-0.07%	1348438.00	4023	5424765952.00
2017-1-23	4001	4034	3996	4024	13	0.32%	3691444.00	4017	14828530688.00
2017-1-20	4011	4025	3998	4011	0	0.00%	3641816.00	4011	14607324160.00
2017-1-19	4041	4058	4005	4012	-27	-0.67%	4629608.00	4028	18648061952.00
2017-1-18	4053	4074	4034	4039	0	0.00%	5222534.00	4050	21151262720.00
2017-1-17	4035	4054	4021	4040	3	0.07%	3244840.00	4036	13096174592.00
2017-1-16	4015	4046	3992	4037	27	0.67%	5003364.00	4018	20103516160.00
2017-1-13	4044	4044	4000	4010	-21	-0.52%	4053264.00	4021	16298174464.00
2017-1-12	4038	4042	4002	4031	-12	-0.30%	5587286.00	4024	22483238912.00
2017-1-11	4014	4055	4006	4043	30	0.75%	4398754.00	4037	17757769728.00
2017-1-10	4003	4022	3995	4013	21	0.53%	3207714.00	4011	12866141184.00
2017-1-9	3988	4013	3978	3992	16	0.40%	3956600.00	3993	15798704128.00
2017-1-6	4008	4026	3966	3977	-40	-1.00%	5858148.00	4000	23432591360.00
2017-1-5	4013	4028	3990	4017	7	0.17%	4139054.00	4011	16601745408.00
2017-1-4	3955	4021	3955	4010	45	1.13%	5078114.00	3994	20281987072.00
2017-1-3	3955	3986	3949	3966	-22	-0.55%	2194770.00	3971	8715431936.00
2016-12-30	3960	4013	3953	3989	19	0.48%	5000326.00	3983	19916298240.00
2016-12-29	3920	3978	3920	3970	40	1.02%	4173718.00	3953	16498707456.00
2016-12-28	3930	3946	3912	3931	9	0.23%	4061162.00	3931	15964428288.00
2016-12-27	3882	3929	3871	3923	44	1.13%	3182544.00	3904	12424651776.00
2016-12-26	3904	3908	3866	3880	-23	-0.59%	3108578.00	3888	12086151168.00
2016-12-23	3880	3932	3861	3904	16	0.41%	5406076.00	3899	21078290432.00
2016-12-22	3912	3933	3866	3888	-38	-0.97%	4498158.00	3900	17542815744.00
2016-12-21	3891	3943	3816	3926	31	0.80%	9778074.00	3875	37890035712.00
2016-12-20	3987	3995	3872	3895	-98	-2.45%	6583594.00	3944	25965694976.00
2016-12-19	3984	4007	3980	3993	12	0.30%	2780438.00	3994	11105069056.00
2016-12-16	4015	4032	3965	3982	-102	-2.50%	8892314.00	3995	35524796416.00
2016-12-15	4133	4147	4076	4084	-35	-0.85%	6679916.00	4105	27421054976.00
2016-12-14	4115	4145	4080	4119	0	0.00%	6104982.00	4115	25122000896.00
